[14:58:41] INFO — Fetching document list from B3 API...
[14:58:43] INFO — Total documents: 227,080
[15:01:51] INFO —   Fetched 11,900 / 227,080
[15:01:52] INFO —   Fetched 12,000 / 227,080
[15:01:54] INFO —   Fetched 12,100 / 227,080
[15:01:56] INFO —   Fetched 12,200 / 227,080
[15:01:58] INFO —   Fetched 12,300 / 227,080
[15:01:59] INFO —   Fetched 12,400 / 227,080
[15:02:01] INFO —   Fetched 12,500 / 227,080
[15:02:03] INFO —   Fetched 12,600 / 227,080
[15:02:05] INFO —   Fetched 12,700 / 227,080
[15:02:07] INFO —   Fetched 12,800 / 227,080
[15:02:08] INFO —   Fetched 12,900 / 227,080
[15:02:10] INFO —   Fetched 13,000 / 227,080
[15:02:12] INFO —   Fetched 13,100 / 227,080
[15:02:14] INFO —   Fetched 13,200 / 227,080
[15:02:15] INFO —   Fetched 13,300 / 227,080
[15:02:17] INFO —   Fetched 13,400 / 227,080
[15:02:18] INFO —   Fetched 13,500 / 227,080
[15:02:20] INFO —   Fetched 13,600 / 227,080
[15:02:21] INFO —   Fetched 13,700 / 227,080
[15:02:23] INFO —   Fetched 13,800 / 227,080
[15:02:25] INFO —   Fetched 13,900 / 227,080
[15:02:26] INFO —   Fetched 14,000 / 227,080
[15:02:28] INFO —   Fetched 14,100 / 227,080
[15:02:29] INFO —   Fetched 14,200 / 227,080
[15:02:31] INFO —   Fetched 14,300 / 227,080
[15:02:32] INFO —   Fetched 14,400 / 227,080
[15:02:34] INFO —   Fetched 14,500 / 227,080
[15:02:36] INFO —   Fetched 14,600 / 227,080
[15:02:37] INFO —   Fetched 14,700 / 227,080
[15:02:39] INFO —   Fetched 14,800 / 227,080
[15:02:40] INFO —   Fetched 14,900 / 227,080
[15:02:42] INFO —   Fetched 15,000 / 227,080
[15:02:43] INFO —   Fetched 15,100 / 227,080
[15:02:45] INFO —   Fetched 15,200 / 227,080
[15:02:47] INFO —   Fetched 15,300 / 227,080
[15:02:48] INFO —   Fetched 15,400 / 227,080
[15:02:50] INFO —   Fetched 15,500 / 227,080
[15:02:52] INFO —   Fetched 15,600 / 227,080
[15:02:53] INFO —   Fetched 15,700 / 227,080
[15:02:55] INFO —   Fetched 15,800 / 227,080
[15:02:57] INFO —   Fetched 15,900 / 227,080
[15:02:58] INFO —   Fetched 16,000 / 227,080
[15:03:00] INFO —   Fetched 16,100 / 227,080
[15:03:02] INFO —   Fetched 16,200 / 227,080
[15:03:03] INFO —   Fetched 16,300 / 227,080
[15:03:05] INFO —   Fetched 16,400 / 227,080
[15:03:06] INFO —   Fetched 16,500 / 227,080
[15:03:08] INFO —   Fetched 16,600 / 227,080
[15:03:10] INFO —   Fetched 16,700 / 227,080
[15:03:11] INFO —   Fetched 16,800 / 227,080
[15:03:13] INFO —   Fetched 16,900 / 227,080
[15:03:15] INFO —   Fetched 17,000 / 227,080
[15:03:16] INFO —   Fetched 17,100 / 227,080
[15:03:18] INFO —   Fetched 17,200 / 227,080
[15:03:20] INFO —   Fetched 17,300 / 227,080
[15:03:21] INFO —   Fetched 17,400 / 227,080
[15:03:23] INFO —   Fetched 17,500 / 227,080
[15:03:24] INFO —   Fetched 17,600 / 227,080
[15:03:26] INFO —   Fetched 17,700 / 227,080
[15:03:28] INFO —   Fetched 17,800 / 227,080
[15:03:29] INFO —   Fetched 17,900 / 227,080
[15:03:31] INFO —   Fetched 18,000 / 227,080
[15:03:33] INFO —   Fetched 18,100 / 227,080
[15:03:34] INFO —   Fetched 18,200 / 227,080
[15:03:36] INFO —   Fetched 18,300 / 227,080
[15:03:37] INFO —   Fetched 18,400 / 227,080
[15:03:39] INFO —   Fetched 18,500 / 227,080
[15:03:41] INFO —   Fetched 18,600 / 227,080
[15:03:42] INFO —   Fetched 18,700 / 227,080
[15:03:44] INFO —   Fetched 18,800 / 227,080
[15:03:48] INFO —   Fetched 18,900 / 227,080
[15:03:50] INFO —   Fetched 19,000 / 227,080
[15:03:51] INFO —   Fetched 19,100 / 227,080
[15:03:53] INFO —   Fetched 19,200 / 227,080
[15:03:55] INFO —   Fetched 19,300 / 227,080
[15:03:56] INFO —   Fetched 19,400 / 227,080
[15:03:58] INFO —   Fetched 19,500 / 227,080
[15:04:00] INFO —   Fetched 19,600 / 227,080
[15:04:01] INFO —   Fetched 19,700 / 227,080
[15:04:03] INFO —   Fetched 19,800 / 227,080
[15:04:04] INFO —   Fetched 19,900 / 227,080
[15:04:06] INFO —   Fetched 20,000 / 227,080
[15:04:08] INFO —   Fetched 20,100 / 227,080
[15:04:09] INFO —   Fetched 20,200 / 227,080
[15:04:11] INFO —   Fetched 20,300 / 227,080
[15:04:13] INFO —   Fetched 20,400 / 227,080
[15:04:14] INFO —   Fetched 20,500 / 227,080
[15:04:16] INFO —   Fetched 20,600 / 227,080
[15:04:18] INFO —   Fetched 20,700 / 227,080
[15:04:19] INFO —   Fetched 20,800 / 227,080
[15:04:21] INFO —   Fetched 20,900 / 227,080
[15:04:23] INFO —   Fetched 21,000 / 227,080
[15:04:24] INFO —   Fetched 21,100 / 227,080
[15:04:26] INFO —   Fetched 21,200 / 227,080
[15:04:27] INFO —   Fetched 21,300 / 227,080
[15:04:29] INFO —   Fetched 21,400 / 227,080
[15:04:31] INFO —   Fetched 21,500 / 227,080
[15:04:32] INFO —   Fetched 21,600 / 227,080
[15:04:34] INFO —   Fetched 21,700 / 227,080
[15:04:36] INFO —   Fetched 21,800 / 227,080
[15:04:37] INFO —   Fetched 21,900 / 227,080
[15:04:39] INFO —   Fetched 22,000 / 227,080
[15:04:41] INFO —   Fetched 22,100 / 227,080
[15:04:42] INFO —   Fetched 22,200 / 227,080
[15:04:44] INFO —   Fetched 22,300 / 227,080
[15:04:46] INFO —   Fetched 22,400 / 227,080
[15:04:47] INFO —   Fetched 22,500 / 227,080
[15:04:49] INFO —   Fetched 22,600 / 227,080
[15:04:51] INFO —   Fetched 22,700 / 227,080
[15:04:52] INFO —   Fetched 22,800 / 227,080
[15:04:54] INFO —   Fetched 22,900 / 227,080
[15:04:55] INFO —   Fetched 23,000 / 227,080
[15:04:57] INFO —   Fetched 23,100 / 227,080
[15:04:59] INFO —   Fetched 23,200 / 227,080
[15:05:00] INFO —   Fetched 23,300 / 227,080
[15:05:02] INFO —   Fetched 23,400 / 227,080
[15:05:04] INFO —   Fetched 23,500 / 227,080
[15:05:05] INFO —   Fetched 23,600 / 227,080
[15:05:07] INFO —   Fetched 23,700 / 227,080
[15:05:09] INFO —   Fetched 23,800 / 227,080
[15:05:10] INFO —   Fetched 23,900 / 227,080
[15:05:12] INFO —   Fetched 24,000 / 227,080
[15:05:14] INFO —   Fetched 24,100 / 227,080
[15:05:15] INFO —   Fetched 24,200 / 227,080
[15:05:17] INFO —   Fetched 24,300 / 227,080
[15:05:18] INFO —   Fetched 24,400 / 227,080
[15:05:20] INFO —   Fetched 24,500 / 227,080
[15:05:22] INFO —   Fetched 24,600 / 227,080
[15:05:23] INFO —   Fetched 24,700 / 227,080
[15:05:25] INFO —   Fetched 24,800 / 227,080
[15:05:27] INFO —   Fetched 24,900 / 227,080
[15:05:28] INFO —   Fetched 25,000 / 227,080
[15:05:30] INFO —   Fetched 25,100 / 227,080
[15:05:32] INFO —   Fetched 25,200 / 227,080
[15:05:33] INFO —   Fetched 25,300 / 227,080
[15:05:35] INFO —   Fetched 25,400 / 227,080
[15:05:37] INFO —   Fetched 25,500 / 227,080
[15:05:38] INFO —   Fetched 25,600 / 227,080
[15:05:40] INFO —   Fetched 25,700 / 227,080
